rubric,candidate,n,mae,exact,kappa_quad
SNs,"mean(Q,L,M)",1481,0.554,0.665,0.39
SNs,"median(Q,L,M)",1481,0.591,0.72,0.312
SNs,"min(Q,L,M)",1481,0.465,0.762,0.197
SNs,"max(Q,L,M)",1481,0.918,0.638,0.295
VO,Qwen (solo),1494,0.316,0.687,0.544
VO,Llama (solo),1494,0.728,0.358,0.374
VO,Mistral (solo),1494,0.501,0.517,0.372
VO,"mean(Q,L)",1494,0.578,0.435,0.43
VO,"min(Q,L)",1494,0.345,0.661,0.551
VO,"mean(Q,L,M)",1494,0.424,0.582,0.493
VO,"median(Q,L,M)",1494,0.418,0.588,0.497
VO,"min(Q,L,M)",1494,0.338,0.668,0.542
VO,"max(Q,L,M)",1494,0.789,0.307,0.291
