rubric,candidate,n,mae,exact,within1,kappa_quad
QLq,"min(Q,L)",276,0.333,72.8,95.3,0.867
QLq,"max(Q,L)",276,0.467,56.2,97.5,0.86
QLq,"mean(Q,L,M)",276,0.33,69.9,97.1,0.892
QLq,"median(Q,L,M)",276,0.33,71.4,97.1,0.878
QLq,"min(Q,L,M)",276,0.373,71.7,93.8,0.834
QLq,"max(Q,L,M)",276,0.543,50.4,95.7,0.83
SNs,qwen (solo),282,0.376,74.8,91.1,0.723
SNs,llama33 (solo),282,0.365,76.2,90.1,0.748
SNs,mistral (solo),282,0.525,72.0,84.0,0.512
SNs,"mean(Q,L)",282,0.312,79.8,91.1,0.768
SNs,"min(Q,L)",282,0.259,81.6,93.6,0.799
SNs,"max(Q,L)",282,0.482,69.5,87.6,0.693
SNs,"mean(Q,L,M)",282,0.362,69.5,94.7,0.783
SNs,"median(Q,L,M)",282,0.27,79.8,94.0,0.816
SNs,"min(Q,L,M)",282,0.262,81.2,93.3,0.765
SNs,"max(Q,L,M)",282,0.734,62.1,78.0,0.522
VO,qwen (solo),285,0.351,65.3,99.6,0.624
VO,llama33 (solo),285,0.46,54.7,99.3,0.577
VO,mistral (solo),285,0.512,55.1,95.1,0.488
VO,"mean(Q,L)",285,0.34,66.3,99.6,0.607
VO,"min(Q,L)",285,0.46,54.7,99.3,0.552
VO,"max(Q,L)",285,0.351,65.3,99.6,0.647
VO,"mean(Q,L,M)",285,0.302,70.2,99.6,0.678
VO,"median(Q,L,M)",285,0.298,70.2,100.0,0.689
VO,"min(Q,L,M)",285,0.512,51.6,97.5,0.499
VO,"max(Q,L,M)",285,0.512,53.3,96.5,0.507
